"","Location","variable","mean","lower","upper"
"113","Hubei","R0",4.63526686291229,4.07857623040938,5.14403836741651
"114","Hubei","R(t)",1.79614541031555,1.69718417559555,1.89772925550652
"115","Hubei","PrEx",1.42245435937179,0.182231071612579,3.05776870854012
"116","Hubei","PeakSize",36201.108460946,35066.2518567998,37702.6515574988
"117","Hubei","PeakTime",3.41633333333333,3,4
"118","Hunan","kappa",0.0130760447474552,0.00799926271864062,0.0175941742764156
"119","Hunan","beta",0.277265826510511,0.221494929696907,0.338009747375911
"120","Hunan","m",2059.3809889128,1779.16191158147,2464.1722588836
"121","Hunan","deviance",152.263046090052,148.270583089428,159.97194361515
"122","Hunan","R0",3.08456674319761,2.46411864934271,3.76033945024536
"123","Hunan","R(t)",1.19611239654783,1.07553010807897,1.316391784938
"124","Hunan","PrEx",9.60364581351095,4.83298737047166,15.1040058480779
"125","Hunan","PeakSize",964.502718490637,933.871697585836,1008.42908934184
"126","Hunan","PeakTime",3.02433333333333,2,4
"127","Inner Mongolia","kappa",0.00816637005193655,0.000921924922897477,0.0174275259945064
"128","Inner Mongolia","beta",0.267880008103452,0.132864301746949,0.402714139535441
"129","Inner Mongolia","m",173.050005901439,98.7486130952756,506.371813660355
"130","Inner Mongolia","deviance",73.6349682313183,69.809282140042,81.256507260972
"131","Inner Mongolia","R0",2.98015004071224,1.47810789264819,4.48017217794192
"132","Inner Mongolia","R(t)",1.52216001534563,1.16403573504587,1.82262310738052
"133","Inner Mongolia","PrEx",9.06554730246299,0.49080874065693,26.5330633062013
"134","Inner Mongolia","PeakSize",69.9078375586451,60.5937833535585,99.3018922224503
"135","Inner Mongolia","PeakTime",5.982,3,17
"136","Jiangsu","kappa",0.0115106133213318,0.00833198159242932,0.0144091065447056
"137","Jiangsu","beta",0.276991714217297,0.233657132633358,0.321734232183702
"138","Jiangsu","m",1195.68156960075,1049.34523262273,1392.84298336741
"139","Jiangsu","deviance",119.891247599087,115.966849767145,127.87813829419
"140","Jiangsu","R0",3.08151725933516,2.59942247374091,3.57927525808682
"141","Jiangsu","R(t)",1.35431172207526,1.25917739202076,1.45048145641139
